0,0,0
0,0,128
0,0,139
0,0,205
0,0,238
0,0,255
0,100,0
0,104,139
0,128,0
0,128,128
0,134,139
0,139,0
0,139,139
0,139,69
0,154,205
0,178,238
0,191,255
0,197,205
0,199,140
0,201,87
0,205,0
0,205,102
0,205,205
0,206,209
0,229,238
0,238,0
0,238,118
0,238,238
0,245,255
0,250,154
0,255,0
0,255,127
0,255,255
0,26,128
0,51,0
0,51,51
100,149,237
10,10,10
102,102,0
102,102,102
102,102,102
102,128,230
102,139,139
102,153,102
102,153,153
102,205,0
102,205,170
102,26,51
102,51,102
102,77,179
104,131,139
104,34,139
105,105,105
105,105,105
105,139,105
105,139,34
105,89,205
106,90,205
107,107,107
107,142,35
108,123,139
108,166,205
110,110,110
110,123,139
110,139,61
112,112,112
112,128,144
113,113,198
113,198,113
115,115,115
117,117,117
118,238,0
118,238,198
119,136,153
120,120,120
121,205,205
122,103,238
122,122,122
122,139,139
122,197,205
122,55,139
123,104,238
124,205,124
124,252,0
125,125,125
125,158,192
125,38,205
126,192,238
127,127,127
127,255,0
127,255,212
128,0,0
128,0,128
128,102,204
128,128,0
128,128,105
128,128,128
128,128,128
128,128,26
128,138,135
128,153,255
128,179,128
128,179,179
128,51,77
128,77,128
130,130,130
131,111,255
131,139,131
131,139,139
13,13,13
132,112,255
132,132,132
133,133,133
135,135,135
135,206,235
135,206,250
135,206,255
135,38,87
137,104,205
138,138,138
138,43,226
138,51,36
138,54,15
139,0,0
139,0,139
139,101,8
139,102,139
139,105,105
139,105,20
139,10,80
139,115,85
139,117,0
139,119,101
139,121,94
139,123,139
139,125,107
139,125,123
139,126,102
139,129,76
139,131,120
139,131,134
139,134,130
139,134,78
139,136,120
139,137,112
139,137,137
139,139,0
139,139,122
139,139,131
139,26,26
139,28,98
139,34,82
139,35,35
139,37,0
139,54,38
139,58,58
139,58,98
139,62,47
139,69,0
139,69,19
139,71,137
139,71,38
139,71,93
139,76,57
139,87,66
139,90,0
139,90,43
139,95,101
139,99,108
140,140,140
141,182,205
141,238,238
142,142,142
142,142,56
142,229,238
142,56,142
143,143,143
143,188,143
144,238,144
145,145,145
145,44,238
147,112,219
148,0,211
148,148,148
150,150,150
150,205,205
151,255,255
15,15,15
152,245,255
152,251,152
153,0,0
153,102,0
153,102,153
153,128,230
153,153,0
153,153,153
153,153,153
153,153,51
153,179,255
153,204,153
153,204,204
153,50,204
153,51,0
153,77,0
153,77,102
154,192,205
154,205,50
154,255,154
154,50,205
155,205,155
155,48,255
156,102,31
156,156,156
158,158,158
159,121,238
159,182,205
160,82,45
161,161,161
162,181,205
162,205,90
163,163,163
164,211,238
165,42,42
166,166,166
16,78,139
168,168,168
169,169,169
170,170,170
171,130,255
171,171,171
173,173,173
173,216,230
173,255,47
174,238,238
176,176,176
176,196,222
176,224,230
176,226,255
176,23,31
178,223,238
178,34,34
178,58,238
179,102,128
179,102,26
179,128,179
179,128,26
179,153,255
179,179,179
179,179,179
179,179,26
179,179,77
179,204,255
179,230,179
179,230,230
179,238,58
179,26,26
179,77,26
180,205,205
180,238,180
180,82,205
181,181,181
18,18,18
183,183,183
184,134,11
184,184,184
185,211,238
186,186,186
186,85,211
187,255,255
188,143,143
188,210,238
188,238,104
189,183,107
189,189,189
189,252,201
